# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
you wen ti 	有問題	c=21 d=4.28667e-06 t=59920
you wu 	有無	c=1 d=1 t=23816
you xi 	遊戲	c=1 d=3.95891e-07 t=59920
you xian 	優先	c=2 d=1 t=55319
you xian 	有限	c=2 d=1 t=29166
you xian gong si 	有限公司	c=1 d=0.000296045 t=59920
you xian ji 	優先級	c=9 d=0.0186856 t=59920
you xiang 	郵箱	c=6 d=1 t=59505
you xiao 	有效	c=1 d=1 t=46472
you xie 	有些	c=39 d=0.538859 t=59920
you xu 	有序	c=1 d=0.1 t=49631
you xu xing 	有序性	c=1 d=1 t=49632
you xu yao 	有需要	c=3 d=1.09501 t=54349
you xu yao ke 	有需要可	c=1 d=1 t=54350
you yi ci 	有一次	c=1 d=1 t=40756
you yi dian 	有一點	c=2 d=1 t=56894
you yi ge 	有一個	c=5 d=1 t=53073
you yi si 	有意思	c=2 d=1.87372 t=46564
you yi xie 	有一些	c=5 d=1 t=55925
you yin xiang 	有印象	c=1 d=1 t=14719
you yong 	有用	c=7 d=1 t=38188
you you 	又有	c=2 d=1.00059 t=40228
you yu 	優於	c=3 d=1 t=29598
you yu 	由於	c=42 d=1.02692 t=59920
you zhong 	有種	c=1 d=1 t=19584
you zhu 	有助	c=1 d=1 t=26245
you zhu yu 	有助於	c=2 d=1 t=26549
yu 	於	c=19 d=0.0598007 t=59920
yu 	與	c=272 d=3.44966 t=59920
yu 	語	c=1 d=1 t=24900
yu 	雨	c=0 d=0.1 t=17604
yu 	預	c=2 d=0.1 t=57276
yu bian yi 	與編譯	c=1 d=1 t=5814
yu bian yi 	預編譯	c=3 d=1 t=52149
yu bian yi yi hou 	預編譯以後	c=1 d=1 t=34866
yu dao 	遇到	c=12 d=1.29345 t=54756
yu dao guo 	遇到過	c=2 d=1 t=39097
yu ding 	預訂	c=2 d=1.36972 t=16763
yu fa 	語法	c=16 d=0.0153752 t=59920
yu fa bian geng 	語法變更	c=1 d=1 t=5093
yu fen pei 	預分配	c=1 d=1 t=57277
yu gu 	預估	c=1 d=1 t=36455
yu hao 	宇豪	c=6 d=1 t=39321
yu ji 	預計	c=8 d=1.68386 t=56243
yu jian 	預見	c=1 d=1 t=10059
yu ju 	語句	c=12 d=2.10584 t=35939
yu liu 	預留	c=2 d=1 t=54382
yu qi 	與其	c=1 d=1 t=38348
yu qi 	預期	c=11 d=0.0483156 t=59920
yu xian 	預先	c=1 d=1 t=30800
yu ya jie 	於雅潔	c=1 d=1 t=31501
yu yan 	語言	c=4 d=1.00379 t=22429
yu yan xun lian 	語言訓練	c=1 d=8.23255e-07 t=59920
yu yi 	語義	c=1 d=1 t=35864
yu yin 	語音	c=1 d=1 t=22430
yu yue 	預約	c=2 d=1.00014 t=32448
yu zhi 	與之	c=2 d=5.6445e-08 t=59920
yuan 	原	c=7 d=1 t=58160
yuan 	員	c=1 d=1 t=53326
yuan 	遠	c=2 d=1 t=44398
yuan ben 	原本	c=1 d=1 t=47706
yuan bi 	遠比	c=1 d=1 t=56359
yuan biao 	原表	c=1 d=1 t=51280
yuan da 	遠大	c=0 d=0.1 t=46396
yuan da yu 	遠大於	c=1 d=1 t=46397
yuan dai ma 	源代碼	c=3 d=0.000665481 t=59920
yuan duan 	員端	c=1 d=1 t=6061
yuan duan 	源端	c=2 d=1.93707 t=49783
yuan gong 	員工	c=2 d=0.0792617 t=59920
yuan jia 	原價	c=1 d=1 t=18159
yuan lai 	原來	c=60 d=0.891366 t=59920
yuan li 	原理	c=4 d=1 t=32052
yuan ma 	源碼	c=5 d=0.969358 t=58360
yuan ma bao 	源碼包	c=1 d=1 t=58361
yuan qi 	緣起	c=1 d=1 t=40693
yuan sheng 	原生	c=2 d=0.0139734 t=59920
yuan shi 	原始	c=4 d=1 t=50601
yuan shu ju 	元數據	c=10 d=0.0468877 t=59920
yuan tu 	原圖	c=1 d=3.39769e-07 t=59920
yuan wen 	原文	c=2 d=1 t=40407
yuan wen jian 	源文件	c=1 d=0.00148106 t=59920
yuan xing 	原型	c=10 d=0.000752336 t=59920
yuan yi 	願意	c=2 d=1 t=45035
yuan yin 	原因	c=91 d=0.0305009 t=59920
yuan you 	原有	c=20 d=0.0489208 t=59920
yuan yuan 	遠遠	c=2 d=1.00224 t=20280
yuan zi 	原子	c=13 d=6.00015 t=46333
yuan zi 	源自	c=1 d=1 t=39920
yue 	月	c=8 d=1.00007 t=58161
yue 	約	c=6 d=1.956 t=59683
yue 	越	c=5 d=3.8844 t=34540
yue chang 	越長	c=1 d=1 t=34429
yue da 	越大	c=1 d=1 t=34422
yue di 	月底	c=1 d=1 t=22308
yue di 	越低	c=1 d=1 t=34431
yue du 	閱讀	c=4 d=1 t=50797
yue du le 	閱讀了	c=1 d=1 t=36753
yue duo 	越多	c=1 d=1 t=19159
yue fen 	月份	c=2 d=1 t=16148
yue gao 	越高	c=1 d=1 t=34444
yue guo 	越過	c=1 d=1 t=26790
yue jie 	越界	c=5 d=1 t=38151
yue lai 	越來	c=1 d=1 t=56072
yue lai yue 	越來越	c=1 d=1 t=9730
yue lao 	越老	c=1 d=1 t=34534
yue shu 	約束	c=1 d=1 t=4185
yue tong 	岳通	c=3 d=1.44043 t=51199
yue xiao 	越小	c=1 d=1 t=34442
yue xie yue luan 	越寫越亂	c=1 d=1 t=39044
yue xin de 	越新的	c=1 d=1 t=34539
yun dong hui 	運動會	c=1 d=1 t=54814
yun suan 	運算	c=3 d=1 t=45290
yun xing 	運行	c=16 d=1.37793 t=54680
yun xing qi 	運行期	c=1 d=1 t=10004
yun xu 	允許	c=1 d=1 t=54421
za 	咋	c=5 d=1.00004 t=41488
za 	砸	c=1 d=1 t=57824
za 	雜	c=2 d=1 t=7306
za ji 	雜記	c=1 d=1 t=57721
za le 	咋了	c=1 d=1 t=11250
za qu 	咋去	c=1 d=1 t=11032
za suan 	咋算	c=1 d=1 t=18154
za xiang 	雜項	c=7 d=1 t=47406
za yang 	咋樣	c=0 d=0.1 t=31238
za yang le 	咋樣了	c=1 d=1 t=38759
zai 	再	c=197 d=0.209494 t=59920
zai 	在	c=587 d=1.06057 t=59920
zai ci 	再次	c=5 d=1 t=56528
zai fa 	再發	c=1 d=1 t=58277
zai gai 	再改	c=0 d=0.1 t=16466
zai gai 	在改	c=1 d=1 t=57177
zai gai le 	再改了	c=1 d=1 t=16467
zai gei 	再給	c=1 d=1 t=51308
zai hu 	在乎	c=1 d=1 t=14521
zai kan 	再看	c=1 d=1 t=39080
zai kan 	在看	c=1 d=1 t=39081
zai li mian 	在裏面	c=1 d=1 t=8626
zai ma 	在嗎	c=4 d=1.73754 t=12970
zai me 	仔麼	c=1 d=1 t=11599
zai me 	在麼	c=20 d=1 t=57622
zai nei 	在內	c=2 d=1 t=41174
zai pao 	再跑	c=1 d=1 t=26421
zai pao 	在跑	c=1 d=1 t=58019
zai qu 	再去	c=1 d=1 t=50146
zai shi shi 	再試試	c=1 d=1 t=12062
zai shuo 	再說	c=3 d=1.48514e-06 t=59920
zai tiao 	在調	c=1 d=1 t=31432
zai xian 	在線	c=5 d=2.44562e-06 t=59920
zai xiang 	在想	c=1 d=1 t=22132
zai yi ge 	在一個	c=1 d=5.0933e-05 t=59920
zai yong 	在用	c=9 d=1.06126 t=37689
zai yong me 	在用麼	c=2 d=1.63445 t=37683
zai yu 	在於	c=11 d=0.0958472 t=59920
zai zhui 	在追	c=1 d=1 t=11169
zai zuo 	再做	c=5 d=0.0458432 t=59920
zan 	咱	c=1 d=1 t=16832
zan 	暫	c=2 d=1 t=54691
zan 	讚	c=3 d=1 t=39408
zan cheng 	贊成	c=1 d=1 t=38619
zan cun 	暫存	c=1 d=1 t=42812
zan huan 	暫緩	c=1 d=0.00856561 t=59920
zan men 	咱們	c=102 d=0.352546 t=59920
zan shi 	暫時	c=23 d=0.000251014 t=59920
zan ting 	暫停	c=6 d=1 t=57284
zan wu 	暫無	c=1 d=1 t=54432
zao 	早	c=1 d=0.1 t=41349
zao chen 	早晨	c=1 d=1 t=58033
zao cheng 	造成	c=18 d=1.90484 t=56213
zao cheng le 	造成了	c=3 d=1 t=50504
zao dian 	早點	c=2 d=1 t=29377
zao jiu 	早就	c=2 d=1 t=45857
zao qi 	早期	c=4 d=1 t=42454
zao shang 	早上	c=15 d=1.0001 t=39248
zao zuo 	造作	c=2 d=1.00013 t=43735
ze 	則	c=95 d=0.391868 t=59920
ze ji 	擇機	c=1 d=1.56506e-05 t=59920
ze ren ren 	責任人	c=1 d=1 t=10036
zei liang 	賊亮	c=1 d=1 t=34224
zen me 	怎麼	c=67 d=7.46428e-07 t=59920
zen me chu li 	怎麼處理	c=1 d=1 t=37219
zen me gai 	怎麼改	c=1 d=1 t=54573
zen me la 	怎麼啦	c=1 d=1 t=18066
zen me le 	怎麼了	c=8 d=1 t=56303
zen me xiu 	怎麼修	c=1 d=1 t=52286
zen me yang 	怎麼樣	c=4 d=1.04927e-07 t=59920
zen me yang le 	怎麼樣了	c=2 d=1.98511 t=33062
zen yang 	怎樣	c=8 d=1.00014 t=59468
zen yong 	怎用	c=1 d=1 t=10018
zeng 	增	c=3 d=1 t=36645
zeng 	曾	c=1 d=1 t=9400
zeng jia 	增加	c=23 d=1.87088 t=59920
zeng jia le 	增加了	c=3 d=2.61979e-07 t=59920
zeng liang 	增量	c=1 d=1 t=22788
zeng qiang 	增強	c=2 d=1 t=44604
zeng zhang 	增長	c=1 d=1 t=32825
zhai lu 	摘錄	c=2 d=1 t=42878
zhai zi 	摘自	c=2 d=0.0158434 t=59920
zhan 	佔	c=1 d=1 t=35338
zhan 	棧	c=8 d=4.17214 t=34812
zhan 	沾	c=1 d=3.4837e-07 t=59920
zhan bi 	佔比	c=1 d=1 t=47638
zhan di 	棧底	c=6 d=3.8837 t=34730
zhan ding 	棧頂	c=3 d=1.87032 t=34804
zhan guang 	佔光	c=1 d=1 t=29634
zhan kai 	展開	c=1 d=1 t=47801
zhan le 	佔了	c=1 d=1 t=37748
zhan li 	棧裏	c=2 d=1.69768 t=34785
zhan man 	佔滿	c=1 d=1 t=55985
zhan man 	沾滿	c=1 d=1 t=55984
zhan shi 	展示	c=2 d=0.0188407 t=59920
zhan xian 	展現	c=0 d=0.1 t=22940
zhan xian le 	展現了	c=1 d=1 t=22941
zhan yong 	佔用	c=58 d=0.000979146 t=59920
zhan yong le 	佔用了	c=1 d=1 t=58991
zhan yong lv 	佔用率	c=2 d=1 t=56024
zhang 	張	c=1 d=1 t=34267
zhang gong 	張工	c=2 d=1.00053 t=56139
zhang hao 	帳號	c=1 d=1 t=45933
zhang hu 	賬戶	c=1 d=1 t=13933
zhang jie 	章節	c=11 d=1.00068 t=59459
zhang kai 	張楷	c=1 d=3.11276e-06 t=59920
zhang le 	長了	c=0 d=0.1 t=56750
zhang ling 	張靈	c=14 d=1.62189 t=56731
zhang nan 	張楠	c=7 d=1 t=34907
zhang san feng 	張三丰	c=1 d=0.0140519 t=59920
zhang wo 	掌握	c=4 d=1.97531 t=16909
zhang wo hao 	掌握好	c=1 d=1 t=10635
zhang xu 	張旭	c=1 d=0.1 t=13856
zhang xu ming 	張旭明	c=1 d=1 t=13857
zhang xue 	張學	c=2 d=1.99501 t=40123
zhao 	找	c=11 d=1 t=46638
zhao 	照	c=1 d=1 t=37645
zhao ba 	找吧	c=1 d=1 t=38774
zhao bu dao 	找不到	c=5 d=1.00001 t=59107
zhao bu dao le 	找不到了	c=1 d=1 t=56891
zhao bu zhao 	找不着	c=1 d=0.631284 t=59920
zhao chu 	找出	c=2 d=1 t=41976
zhao dao 	找到	c=28 d=0.0169075 t=59920
zhao dao le 	找到了	c=5 d=1 t=56051
zhao dao me 	找到麼	c=1 d=1 t=35001
zhao de 	找的	c=1 d=1 t=13859
zhao ge 	找個	c=5 d=1 t=47621
zhao ge ren 	找個人	c=1 d=1 t=8129
zhao hu 	招呼	c=1 d=1 t=45598
zhao hui 	找回	c=1 d=1 t=50811
zhao hui lai 	找回來	c=4 d=1.98511 t=50803
zhao ji 	着急	c=5 d=1 t=53671
zhao ji hui 	找機會	c=1 d=1 t=33178
zhao le 	找了	c=5 d=1.99501 t=48565
zhao ni 	找你	c=1 d=1 t=8685
zhao pian 	照片	c=2 d=1.99501 t=49762
zhao ren 	找人	c=1 d=1 t=18946
zhao shui 	找誰	c=1 d=0.000825105 t=59920
zhao ta 	找他	c=1 d=1 t=22227
zhao ta 	找她	c=1 d=0.790734 t=28815
zhao wo 	找我	c=6 d=1.00001 t=20049
zhao xia 	找下	c=1 d=0.000973123 t=59920
zhao xun 	找尋	c=1 d=1 t=47114
zhao yi ge 	找一個	c=1 d=1 t=30337
zhao zhao 	找找	c=3 d=1 t=30046
zhe 	着	c=4 d=1 t=46529
zhe 	者	c=7 d=1 t=57569
zhe 	這	c=75 d=9.34955e-05 t=59920
zhe bian 	這邊	c=25 d=0.00697795 t=59920
zhe bu 	這部	c=1 d=1 t=19797
zhe bu fen 	這部分	c=2 d=1 t=42516
zhe ci 	這次	c=14 d=1 t=57935
zhe dian 	這點	c=0 d=0.1 t=12874
zhe duan 	這段	c=4 d=1 t=56939
zhe dui 	這對	c=2 d=1.99501 t=15581
zhe ge 	這個	c=429 d=0.646232 t=59920
zhe ge bu fen 	這個部分	c=2 d=1 t=37701
zhe ge shi 	這個是	c=1 d=1 t=37998
zhe ge wen ti 	這個問題	c=2 d=1 t=51888
zhe ge yue 	這個月	c=2 d=0.000309671 t=59920
zhe hang 	這行	c=1 d=1 t=15578
zhe hui 	這回	c=1 d=1 t=20389
zhe ji ge 	這幾個	c=2 d=1.00001 t=36189
zhe ji tian 	這幾天	c=5 d=2.97521 t=47659
zhe jian 	這件	c=1 d=1 t=23152
zhe ju hua 	這句話	c=1 d=1 t=33247
zhe kuai 	這塊	c=4 d=1 t=58400
zhe li 	這裏	c=59 d=0.036823 t=59920
zhe li mian 	這裏面	c=1 d=1 t=37445
zhe liang 	這兩	c=1 d=1 t=18231
zhe liang ge 	這兩個	c=5 d=1 t=56294
zhe liang tian 	這兩天	c=6 d=1 t=47660
zhe me 	這麼	c=10 d=7.73442e-09 t=59920
zhe me chang 	這麼長	c=2 d=1 t=53255
zhe me da 	這麼大	c=1 d=1 t=21729
zhe me duo 	這麼多	c=2 d=1 t=37011
zhe me hao 	這麼好	c=0 d=0.1 t=9872
zhe me hao le 	這麼好了	c=1 d=1 t=9873
zhe me yan zhong 	這麼嚴重	c=1 d=1 t=47061
zhe shi 	這是	c=4 d=1 t=55855
zhe shi 	這時	c=1 d=1 t=32332
zhe tai 	這臺	c=3 d=1 t=37007
zhe teng 	折騰	c=4 d=1 t=51411
zhe tiao 	這條	c=1 d=1 t=48154
zhe xie 	這些	c=64 d=0.491644 t=59920
zhe xie ku 	這些庫	c=1 d=1 t=58102
zhe yan 	遮掩	c=1 d=1 t=49760
zhe yang 	這樣	c=88 d=0.00855472 t=59920
zhe yang li jie 	這樣理解	c=1 d=1 t=18268
zhe yang me 	這樣麼	c=1 d=1 t=20028
zhe yang zuo 	這樣做	c=6 d=0.00884974 t=59920
zhe yang zuo le 	這樣做了	c=1 d=1 t=38874
zhe yi 	這一	c=4 d=1 t=58824
zhe yi bu 	這一步	c=1 d=0.00843808 t=59920
zhe yi ci 	這一次	c=2 d=1 t=59744
zhe yi ge 	這一個	c=1 d=1 t=20013
zhe yi hang 	這一行	c=1 d=1 t=44042
zhe zhong 	折衷	c=1 d=1.22815e-06 t=59920
zhe zhong 	這種	c=44 d=1.99721 t=59072
zhen 	真	c=12 d=1.00001 t=59260
zhen 	針	c=1 d=1 t=46313
zhen 	陣	c=0 d=0.1 t=24415
zhen de 	真的	c=9 d=1 t=55019
zhen dui 	針對	c=24 d=1 t=57134
zhen dui xing 	針對性	c=2 d=1 t=38268
zhen hao 	真好	c=1 d=1 t=54789
zhen jian 	真劍	c=1 d=1 t=36332
zhen shi 	真實	c=6 d=1 t=53362
zhen shi 	真是	c=1 d=7.48646e-07 t=59920
zhen yang 	振揚	c=1 d=1 t=51910
zhen zheng 	真正	c=25 d=2.04289 t=59268
zhen zhuo 	斟酌	c=1 d=1 t=35292
zheng 	整	c=3 d=1.0222 t=39310
zheng 	正	c=1 d=1 t=35109
zheng 	鄭	c=0 d=0.1 t=49146
zheng ban 	正版	c=2 d=1.97045 t=47214
zheng chang 	正常	c=27 d=1 t=58946
zheng ci mi 	整次冪	c=2 d=5.19707e-07 t=59920
zheng dian 	整點	c=1 d=1 t=33181
zheng ge 	整個	c=16 d=0.00660453 t=59920
zheng hao 	正好	c=1 d=1 t=28769
zheng he 	整合	c=8 d=0.0639279 t=59920
zheng jie 	整潔	c=2 d=1 t=41126
zheng ke shu 	整棵樹	c=2 d=1.5627 t=50701
zheng li 	整理	c=27 d=0.795387 t=59920
zheng li hui 	鄭黎輝	c=1 d=1 t=49147
zheng li le 	整理了	c=3 d=1 t=46766
zheng li wan 	整理完	c=1 d=1 t=38109
zheng li yi fen 	整理一份	c=1 d=1 t=48433
zheng li zheng li ba 	整理整理吧	c=1 d=1 t=51037
zheng liang tian 	整兩天	c=1 d=1 t=39010
zheng ming 	證明	c=1 d=1 t=39914
zheng qi 	整齊	c=1 d=1 t=11234
zheng qiang 	爭搶	c=4 d=1.52274e-06 t=59920
zheng qu 	爭取	c=1 d=1 t=6183
zheng que 	正確	c=11 d=0.24423 t=59920
zheng que chu shi hua 	正確初始化	c=1 d=1 t=31127
zheng que xing 	正確性	c=1 d=1 t=39984
zheng shi 	正式	c=2 d=0.740818 t=59920
zheng ti 	整體	c=16 d=1 t=59382
zheng ti shang 	整體上	c=0 d=0.1 t=46412
zheng ti shang kan 	整體上看	c=1 d=1 t=46413
zheng tiao 	整條	c=2 d=1.00005 t=50148
zheng wan 	整晚	c=0 d=0.1 t=19427
zheng wan le 	整晚了	c=1 d=1 t=19428
zheng xiang 	正向	c=2 d=1 t=23383
zheng yong 	徵用	c=1 d=1 t=47578
zheng yuan 	鄭媛	c=1 d=1 t=44188
zheng zai 	正在	c=22 d=0.205501 t=59920
zheng zai pao 	正在跑	c=3 d=1 t=56773
zheng ze 	正則	c=2 d=1 t=56758
zheng zhang 	整張	c=1 d=1 t=49214
zhi 	之	c=5 d=4.255e-08 t=59920
zhi 	值	c=50 d=7.39788e-06 t=59920
zhi 	只	c=32 d=0.599166 t=59920
zhi 	指	c=3 d=1 t=55378
zhi 	直	c=1 d=1 t=37074
zhi 	置	c=1 d=1 t=55955
zhi 	至	c=17 d=0.276651 t=59920
zhi biao 	指標	c=3 d=1 t=57106
zhi bu ding 	指不定	c=1 d=1 t=20051
zhi bu guo 	只不過	c=2 d=1 t=40365
zhi cai 	制裁	c=1 d=1 t=49801
zhi chi 	支持	c=39 d=0.0121966 t=59920
zhi chu 	之初	c=2 d=0.0151463 t=59920
zhi chu 	之處	c=8 d=0.0953692 t=59920
zhi chu 	指出	c=2 d=1 t=48001
zhi dao 	直到	c=3 d=1 t=48710
zhi dao 	知道	c=41 d=1.25924 t=57260
zhi dao le 	知道了	c=8 d=1 t=55943
zhi de 	值得	c=12 d=0.0100019 t=59920
zhi de 	只得	c=1 d=9.46807e-05 t=59920
zhi de 	指的	c=5 d=9.51553e-05 t=59920
zhi ding 	制定	c=2 d=0.740818 t=59920
zhi ding 	指定	c=51 d=0.690734 t=59920
zhi ding de 	指定的	c=1 d=1.50395e-07 t=59920
zhi ding le 	指定了	c=5 d=1.21438 t=52347
zhi du 	制度	c=0 d=0.1 t=27546
zhi du 	只讀	c=2 d=1 t=53452
zhi du le 	制度了	c=1 d=1 t=27547
zhi dui 	只對	c=1 d=1 t=39377
zhi fang tu 	直方圖	c=1 d=1 t=48385
zhi fu bao 	支付寶	c=2 d=1 t=34913
zhi gei 	指給	c=5 d=1.00001 t=58213
zhi gei ni 	指給你	c=2 d=1.01015 t=12073
zhi guan 	直觀	c=1 d=0.40657 t=59920
zhi hou 	之後	c=101 d=0.0659982 t=59920
zhi hui 	只會	c=3 d=1 t=58422
zhi ji 	只記	c=0 d=0.1 t=18190
zhi ji le 	只記了	c=1 d=1 t=18191
zhi jian 	之間	c=22 d=1.92662e-05 t=59920
zhi jie 	直接	c=136 d=0.550234 t=59920
zhi jie ti le 	直接提了	c=1 d=1 t=7021
zhi jie yong 	直接用	c=1 d=1 t=10051
zhi jin 	至今	c=1 d=1 t=34400
zhi kan 	只看	c=1 d=1 t=11747
zhi kong 	指控	c=1 d=0.000221519 t=59920
zhi lei 	之類	c=29 d=1 t=52900
zhi lei zai 	之類在	c=2 d=1 t=24583
zhi liang 	質量	c=3 d=1 t=38316
zhi nei 	之內	c=2 d=1.0037 t=58230
zhi neng 	只能	c=13 d=0.0211738 t=59920
zhi qian 	之前	c=222 d=1.56559 t=59920
zhi shang 	之上	c=3 d=1 t=42418
zhi shao 	至少	c=12 d=1 t=57611
zhi sheng xia 	只剩下	c=2 d=1 t=23982
zhi shi 	只是	c=52 d=0.657424 t=59920
zhi shi 	知識	c=5 d=0.524663 t=59920
zhi shi ge 	只是個	c=1 d=1 t=54345
zhi shi yong 	值使用	c=1 d=5.53179e-06 t=59920
zhi shu 	指數	c=0 d=0.1 t=16705
zhi shu ji 	指數級	c=1 d=1 t=16706
zhi suo yi 	之所以	c=12 d=1 t=57522
zhi wai 	之外	c=9 d=3.51812e-05 t=59920
zhi wei 	志偉	c=57 d=1.04164 t=57202
zhi wei 	置爲	c=5 d=1 t=42807
zhi wen 	指紋	c=3 d=1.00005 t=31483
zhi xi 	知悉	c=2 d=0.1 t=51585
zhi xiang 	只想	c=1 d=1 t=38641
zhi xiang 	指向	c=7 d=4.20843e-07 t=59920
zhi xing 	執行	c=98 d=0.484046 t=59920
zhi xu yao 	只需要	c=3 d=1 t=54569
zhi yao 	只要	c=19 d=1.36832 t=54670
zhi yi 	之一	c=2 d=1.26847 t=54767
zhi yong 	只用	c=2 d=0.1 t=40222
zhi yong lai 	只用來	c=1 d=1 t=40223
zhi yong le 	只用了	c=1 d=1 t=8057
zhi you 	只有	c=20 d=0.0318225 t=59920
zhi yu 	置於	c=3 d=1 t=42302
zhi yu 	至於	c=3 d=1 t=48481
zhi zai 	只在	c=3 d=1 t=46876
zhi zai 	旨在	c=1 d=1 t=44700
zhi ze 	職責	c=2 d=1 t=49568
zhi zhen 	指針	c=26 d=1.16317e-06 t=59920
zhi zheng 	指正	c=1 d=1 t=5245
zhi zhi 	直至	c=1 d=1 t=53430
zhi zhi dao 	只知道	c=1 d=1 t=54295
zhi zhong 	之中	c=1 d=1 t=9664
zhong 	中	c=426 d=1.8823 t=59920
zhong 	種	c=6 d=0.000130825 t=59920
zhong 	鍾	c=1 d=1 t=25134
zhong de 	中的	c=1 d=9.78334e-08 t=59920
zhong dian 	重點	c=7 d=0.634448 t=59920
zhong duan 	終端	c=2 d=1 t=37982
zhong ji 	中繼	c=0 d=0.1 t=29202
zhong ji duan 	中繼端	c=1 d=1 t=29203
zhong jian 	中間	c=6 d=1.99005 t=59404
zhong jian ceng 	中間層	c=2 d=1.90937 t=47982
zhong lei 	種類	c=1 d=1 t=38126
zhong shi 	中式	c=1 d=1 t=34304
zhong shi 	重視	c=1 d=0.1 t=53858
zhong tao 	忠濤	c=10 d=1.0004 t=59773
zhong wen 	中文	c=9 d=1.98942 t=59920
zhong wu 	中午	c=7 d=1 t=47050
zhong xin 	中心	c=0 d=0.1 t=30525
zhong yao 	重要	c=7 d=0.699748 t=59920
zhong yao xing 	重要性	c=1 d=1 t=16642
zhong yu 	終於	c=3 d=1.96561 t=31585
zhong zai 	重在	c=1 d=1 t=43234
zhou 	周	c=1 d=1 t=13278
zhou bao 	週報	c=5 d=0.053397 t=59920
zhou er 	週二	c=1 d=1 t=32467
zhou hui 	週會	c=1 d=1 t=46043
zhou liu 	週六	c=3 d=1 t=38374
zhou mo 	週末	c=1 d=1 t=37920
zhou qi 	週期	c=1 d=1 t=19665
zhou ri 	週日	c=4 d=1 t=38381
zhou san 	週三	c=1 d=1 t=28600
zhou wei ren 	周圍人	c=1 d=1 t=23253
zhou wu 	週五	c=3 d=0.1 t=52789
zhou yi 	週一	c=4 d=0.146702 t=59920
zhu 	主	c=11 d=4.69037e-06 t=59920
zhu 	住	c=3 d=1 t=47592
zhu 	朱	c=2 d=1.64404 t=40289
zhu 	煮	c=1 d=1 t=7148
zhu 	註	c=4 d=1 t=39939
zhu bei 	主備	c=3 d=2.88014 t=41855
zhu bei 	主背	c=1 d=1 t=37467
zhu bu 	逐步	c=1 d=1 t=5432
zhu ce 	註冊	c=9 d=0.000307148 t=59920
zhu ce dao 	註冊到	c=1 d=7.61927e-08 t=59920
zhu ce gei le 	註冊給了	c=1 d=1 t=48881
zhu cun 	主存	c=1 d=6.63989e-07 t=59920
zhu dong 	主動	c=15 d=8.368e-05 t=59920
zhu fu ben 	主副本	c=1 d=1 t=6096
zhu gan 	主幹	c=1 d=1 t=12267
zhu ge 	逐個	c=3 d=3.64343e-05 t=59920
zhu ji 	主機	c=4 d=1.95902 t=54225
zhu jian 	逐漸	c=1 d=1 t=16181
zhu jie dian 	主節點	c=8 d=3.84522 t=49437
zhu liu 	駐留	c=5 d=2.63831 t=34763
zhu ru 	注入	c=1 d=1 t=7410
zhu ru 	諸如	c=5 d=1 t=48413
zhu shi 	註釋	c=25 d=0.0219278 t=59920
zhu shi ba 	註釋吧	c=1 d=1 t=39775
zhu shi diao 	註釋掉	c=2 d=1.00586 t=34884
zhu ti 	主題	c=2 d=1 t=40176
zhu yao 	主要	c=50 d=0.00486835 t=59920
zhu yao shi 	主要是	c=2 d=1 t=41961
zhu ye 	主頁	c=1 d=1 t=9146
zhu yi 	主意	c=1 d=1 t=36992
zhu yi 	主義	c=1 d=1 t=36990
zhu yi 	注意	c=39 d=0.018968 t=59920
zhu yi 	逐一	c=1 d=1 t=59343
zhu yi dao 	注意到	c=5 d=1.86936 t=40753
zhu yi le 	注意了	c=1 d=1 t=19991
zhu yi yi dian 	注意一點	c=1 d=1 t=33773
zhu zai 	住在	c=1 d=1 t=34568
zhu zhang 	主張	c=1 d=1 t=35039
zhu zhong 	注重	c=1 d=1 t=54545
zhua 	抓	c=1 d=1 t=42004
zhua xia lai 	抓下來	c=1 d=1 t=42034
zhuai 	拽	c=1 d=1 t=15619
zhuan 	轉	c=1 d=1 t=14148
zhuan bian 	轉變	c=1 d=1 t=54996
zhuan cheng 	轉成	c=3 d=1 t=23889
zhuan er 	轉而	c=9 d=1 t=47890
zhuan fa 	轉發	c=28 d=3.16261 t=50724
zhuan fa gei le 	轉發給了	c=1 d=1 t=48471
zhuan fa lian 	轉發鏈	c=3 d=2.30311 t=50019
zhuan gei 	轉給	c=8 d=1.00002 t=50733
zhuan gei zai 	轉給在	c=1 d=1 t=12617
zhuan huan 	轉換	c=10 d=3.81522e-07 t=59920
zhuan jiao gei 	轉交給	c=1 d=1 t=4284
zhuan le 	轉了	c=1 d=1 t=30478
zhuan li 	專利	c=1 d=1 t=16151
zhuan men 	專門	c=7 d=1 t=55159
zhuan ren 	專人	c=2 d=1.93707 t=6470
zhuan shu 	專屬	c=5 d=3.97627 t=55343
zhuan su 	轉速	c=1 d=1 t=44481
zhuan wei 	轉爲	c=2 d=1 t=34578
zhuan xin 	專心	c=1 d=1 t=41858
zhuan zai 	轉載	c=1 d=1 t=35217
zhuang 	裝	c=7 d=1.00046 t=37921
zhuang fa lian 	裝發鏈	c=1 d=1 t=50192
zhuang ge 	裝個	c=1 d=1 t=37710
zhuang guo 	裝過	c=1 d=1 t=35977
zhuang kuang 	狀況	c=2 d=1 t=57808
